name,latitude,longitude
Sri Lanka,7.8731,80.7718
Costa Rica,9.7489,-83.7534
Indonesia,-0.7893,113.9213
United States,37.0902,-95.7129
Australia,-25.2744,133.7751
France,46.6034,1.8883
Morocco,31.7917,-7.0926
South Africa,-30.5595,22.9375
Canada,56.1304,-106.3468
Portugal,39.3999,-8.2245
Spain,40.4637,-3.7492
Brazil,-14.2350,-51.9253
New Zealand,-40.9006,174.8860
Mexico,23.6345,-102.5528
Peru,-9.1900,-75.0152
Maldives,3.2028,73.2207
Fiji,-17.7134,178.0650
Philippines,13.0000,122.0000
Japan,36.2048,138.2529